"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
access_tianv_social_insurance_config,access_tianv_social_insurance_config,model_tianv_social_insurance_config,,1,0,0,0
access_tianv_social_insurance_config_admin,access_tianv_social_insurance_config_admin,model_tianv_social_insurance_config,tianv_insurance.group_insurance_admin,1,1,1,1

access_tianv_social_insurance_line,access_tianv_social_insurance_line,model_tianv_social_insurance_line,,1,0,0,0
access_tianv_social_insurance_line_admin,access_tianv_social_insurance_line_admin,model_tianv_social_insurance_line,tianv_insurance.group_insurance_admin,1,1,1,1

access_tianv_social_insurance_type,access_tianv_social_insurance_type,model_tianv_social_insurance_type,,1,0,0,0
access_tianv_social_insurance_type_admin,access_tianv_social_insurance_type_admin,model_tianv_social_insurance_type,base.group_no_one,1,1,1,1

access_tianv_social_insurance_record,access_tianv_social_insurance_record,model_tianv_social_insurance_record,,1,0,0,0
access_tianv_social_insurance_record_admin,access_tianv_social_insurance_record_admin,model_tianv_social_insurance_record,tianv_insurance.group_insurance_admin,1,1,1,1

access_tianv_social_insurance_record_line,access_tianv_social_insurance_record_line,model_tianv_social_insurance_record_line,,1,0,0,0
access_tianv_social_insurance_record_line_admin,access_tianv_social_insurance_record_line_admin,model_tianv_social_insurance_record_line,tianv_insurance.group_insurance_admin,1,1,1,1
